topic_id,rank,doc
26,3,"The course is divided into 5 sections, each of which you have a week to complete (if you want a certificate). The first 4 sections/weeks are well designed and involved a mixture of lectures (most were good), reading assignments in a textbook (free online access), practice problems, and a weekly quiz. Along the way students learn how to use R through a handful of walk-through examples. In general this works. That said, the last two R assignments are a mess. For the 4th week, the instructors put together a demonstration for using R to ask and answer some basic research questions. The document they put together for this demonstration, however, is so full of typos and grammar mistakes, and worse, heaps of nearly incomprehensible sentences and phrasings, that it is almost worthless. It was really painful to get through it. The final R task is to work with a real-world data set, ask a few research questions, and use R to do some basic statistical analysis of the data. Working with a real-world data set is great. That said, I felt as if the instructors were asking students to do far more with R and statistics than we had learned in the class. I saw many similar opinions about this assignment online. And in grading my peers, I noticed that other students didn't know how to complete the project either."
27,1,"Most of the stuff is explained quite well and I managed to understand it. I am quite satisfied overall and I am glad I completed the course. The exercises, however, were somewhat boring. I wish there were some optional exercises that are more challenging and require you to solve more realistic problems. I also wish there were more additional materials with more in depth theory and examples of how they use these concepts for solving problems that are actually of some use. I feel like these improvements would make the course much more interesting and engaging."
27,2,"I just wrote something about the course allowing the student to access a few various coding exercises (that act, look and feel like the real practice graded exercise) that could appear before each of the chapter graded test exercises. I know that it would require more content, but it would loosen the student up just to have some super simple practice exercises for each chapter that aren't graded so the student could just to get used to typing variances of code (mostly all the nuances of syntax) and allow them to repeat the same code layout in a non-judgmental way just to see if other variances of similar code could produce a very similar outcome. I don't know if this makes sense... I guess in a nut shell, just letting the student goof off more and try coding the chapter exercises in different ways??? :)"
27,3,"Great course, exercises are good to practice by yourself"
28,1,"Excellent as always from the superman himself, Andrew Ng."
28,2,Excellent Course.. Andrew Ng is great.
28,3,Prof. Andrew Ng has done it again! Great course!
29,1,"This course gives a very good intuition about the basics of Artificial Neural Networks and good practice on using a shallow network, 2 layer network and a multi layer Neural Network."
29,2,A good introduction to Neural Networks
29,3,The course gives a good introduction about neural networks and designing the neural network from scratch.
30,1,Its a good course. Helped me improve my writing skills
30,2,"This was a very helpful course. I learnt punctuations, transition words, conjunctions, essay writing, parallel writing and various other topics that will improve my writing style. Initially, they asked an introductory question which I was facing some trouble to write. But after this course i feel confident in writing, not only an introductory paragraph, but any paragraph or essay."
30,3,this course very help us to improve our essay writing skills
31,1,I learned lot about GCP
31,2,Good btoad overview of GCP Concepts and services
31,3,very good course for k8s in GCP.
32,1,One of the best course for IT support Specialist.
32,2,I really enjoyed this course. It was a great introduction into the world of being an IT support specialist.
32,3,"Being an IT engineer pursuing my B.Tech. , I'm always curious to know what an IT is. I always ask myself what will I do when I graduate and here this course has worked wonders for me. This course has led me into the world of IT may be virtually but that's not for me but it led me into the real world. I have now great chances of being an IT Support Specialist when I pass out of my school. Now talking about the most interesting thing I learned in this course, I learned a great deal of things such as Digital logic, Computer architecture layer, OS , Networking, creating folder in windows and linux with the help of QwikLabs was the most exciting part of it. Installing, updating and removing software was also an amazing task for me. Coming to the last week of this course, troubleshooting and its best practices, what are the soft skills we need to possess in order to provide a good customer service as an IT support specialist is the best topic of this course. Knowing how to get through a technical interview and crafting a good resume should be given the utmost importance.A great journey for me !Finally, I'm looking forward to taking the next course in the IT Support Professional Certificate.Thanks !"
33,1,The best MOOC ever taken
33,2,My first ever MOOC and it was the best.
33,3,Best MOOC I have done so far in my life.
34,1,"One more brilliant course by Professor Andrew Ng. It covered all important topics in model training and testing and hyperparameter tuning, ending with an introduction to TensorFlow. But even though Professor Ng stressed that the choice for a Deep Learning framework should consider the belief that the company supporting it has a long term commitment to keep it open sourced, he doesn't explain why he believes that Google will do so with TensorFlow. Even though I've been dealing with TF for a couple of years now, having complete both AI and Deep Learning Nanodegrees at Udacity, I still struggle to understand its cryptic innings. I hoped that Professor Ng could bridge that gap, but unfortunately that was not the case. Maybe in later versions of this course he can explain a little better how exactly TensorFlow works - we know it does, but it is very frustrating to depend upon tons of Stackoverflow queries to get syntax right and build even simple models. Thanks God he uses Keras in later modules."
34,2,"After taking Andrew Ng,s truly excellent 5 course specialization, I was hoping that this followup specialization would be at the same high level. In my view (and I am sad to say this) the present course doesn't live up to that expectation.Of course you could still learn something useful, mostly a selected part of the Keras API. The instuctor is friendly and explains some of the basics of convolutional neural networks. If you are willing to experiment on your own (run the code longer on Colab, play with the hyperparameters, etc) then you get more practice and certainly more out of this experience. Keras has a lot of good tools. For more advanced students going directly to the TensorFlow tutorial website is also an option (and it is free).Overall the course seems a bit rushed, while it has the potential to be better. Let me suggest adding more basic materials to solidify knowledge (for example practicing hands-on image preprocessing before teaching the Keras preprocessing API and overall more experimentation with images). Also adding more exercises on more diverse topics (GAN's, face detection, variational autoencoders, object detection). There are also some minor issues (easy to fix): for example right now in the Week 3 HW the prepared callback teaches the students exactly the wrong approach. It stops the learning cycle when the training accuracy improves over a certain threshold, instead of checking the validation accuracy. That is an unfortunate mistake to make in a week that discusses different ways to avoid overfitting."
34,3,"I am quite disappointed with this course. First, it should not been called ""Introduction to TensorFlow"" but ""Introduction to Keras"", which is a TensorFlows' (TF) API that entails a higher layer of abstraction. Basic data structures, estimators, graphs, etc. are not explained through the course. Second, video lessons are too superficial and lack of content. They remind me to those of the Machine Learning Crash Course from Google. That is, as an opener/introduction for Deep Learning (DL) are fine but they are far from being an essential training tool in DL (unlike the Deep Learning Specialization here in Coursera). Finally, content is too basic. This course requires an intermediate level, so students are supposed to be already familiar with basic DL concepts. I understand that this first course within the specialization is an introduction, but I just begun the next course (Convolutional Neural Networks in TF) and it is more of the same. Laurence is still working on the binary classification problem and only at the end he treats the multi-class problem. Instead, I was expecting to implement CNN models like ResNets, Inception networks, and applications like object detection or face recognition in TF (not in Keras). For me, it is not worth spending time and money for what you learn in this course. The good part is that, because videos are short and exercise are easy, you can finish the whole course in just one week (or less if you are 100% working on it)."
35,1,nice explanation and easy to understand
35,2,Excellent coverage of the topics. Concepts were made clear and easy to understand.
35,3,"Very clear explanation and details are quite exhaustive, all the minute details are explained in detail in simple English. Nothing is taken for granted during the explanation of the concepts."
36,1,"I got my certificate completing my course with 96% of accomplishment. I am so excited and happy to achieve this step and just from the first attempt. Before the course, I was alien to the social psychology field, even though it had attracted me much. I am a political observer, and after a while of being in this field, what I found to myself my work doesn't satisfy me in its evident form. Policy, economy and culture - the fields linked to people, need a psychological approach. Trying to find answers to all inconspicuous through social psychology, we can actually understand the reasons standing behind the hidden curtains. There are a lot of problems that need different approach precisely by exploring the psychological factors. Our world is a picture of our thoughts. If we people feed our thoughts and feelings with hatred and offence we will cultivate villainy and atrocity. Unfortunately, we are aware of our fundamental essence what is created by God. I cordially believe in one person's power. I believe in one step, in one opinion, in one insight and in one perception. A building is starting from one brick. We are all humans that one brick of colossal construction. I summarised what I have read and watched throughout this course, that helped me a lot in constituting my life roadmap, came to the conclusion that actually all researches are based on the principle of one man and one decisive step. It was a miracle journey to my inner me, my self-world. I warmly thank Prof. Scott Plous for his comprehensible and smooth style of narrating and rich sources presented for student's use. I recommend this course to all who wants either discover to understand ""Who am I?"" or predispose to make a significant and salient step in their life. My sincere respect and best wishes to Prof. Plous and all Coursera staff! Thank you for such a fantastic journey :) Best regards, Afsana Ibad Mammadova"
36,2,"This is a great intro course to psychology, which kind of accomplish my dream of being a psychology student. The course gives a general structure of modern psychology. Besides that, it gives how it becomes modern psychology. Also, Professor Bloom is so knowledgeable, I wish I can take one of his class at Yale some time in the future"
36,3,"I am grateful to have had the opportunity to take Introduction to Psychology with professor Paul Bloom. It was an engaging and challenging course, and Professor Bloom has extensive and impressive knowledge of the subject matter. I have learned many new concepts and now understand how to listen and read the assigned materials more thoroughly. I would recommend this course to anyone who is considering pursuing psychology as a major. This course provides an extensive but condensed look at what to expect in other psychology courses."
37,1,Amazing! thank you for the opportunity!
37,2,it was good.Thank You SIr
37,3,I really loved it! Thank you so much for this amazing work!
38,1,"This is one of the most terrible courses on Coursera. Thank God I received it for free and wasted no more than 3 days. The instructor cannot impart knowledge well. The course itself is not meant for beginners. So be careful before wasting your time and (money). The presentation is sub-par. What the instructor writes and speaks can only be understood by him. Somehow you will be able to drag through two weeks of material. But when you reach the third week, you will realize that you have wasted your precious time. The formulas are just rushed through. And the new terms are not even explained before being introduced. If you are not fond of complex calculations, kindly opt-out. Don't believe me? Check out the discussion forums, the people there have no idea either. They just type random stuff to see what others are typing. The instructor's accent (Indian) makes it worse. And trust me, this review is coming from an Indian. I don't know what's it going to take for me to convince you, but the fact that it was pretty low on ratings on classcentral.com and other things should give you a clue. Also, I wouldn't waste so much time to convince you guys. It's not worth it, even for free! To be honest, this course makes a mockery out of Darden School of Business. Check out other courses from lower-ranked colleges, you will be surprised how fun it is to learn using MOOCs. Thank you for reading such a long review but I think everybody should know what lies ahead!"
38,2,"It really was a different perspective to mathematics, and I enjoyed working with proofs and entering the world of mathematicians where even simple problems may have rigorous proofs. It was novel to view how these fundamental proofs have shaped the current state of mathematics today. Dr Keith Devlin was very efficient at teaching and I understood everything in the course and trusted his method even when the beginning weeks were very simple because he felt really knowledgeable and reliable. I would recommend this course to anyone who is interested in mathematics or wants to explore another side of mathematics that we wouldn't ever see in school."
38,3,"I took this course as a refresher for maths rules I had seen in university, so my experience does not relate to those who will encounter this topics for the first time. I honestly do not recommend this course to beginners with no background in mathematics, because there is not much space given to theoretical explanations of the principles here. The course feels more like a quick slideshow of rules (logaritmic manipulations, exponential manipulations, conditional probability manipulation) followed by exercises to practice them. This is a stark contrast to my University Experience, where mathematics is about principles, logic and the demonstrations that underly theorems and their validity (e.g. ''why is the formula for combinations of ""m draws on a set of n"" built this way?''): deep study of these topics provides students with the mental skills to build a MODEL of whatever they come to face in real life. You may forget the rules, but those can be freshened up by a course like this. To build Logical and thinking skills instead requires a deeper understanding of mathematics and its underlying principles. I hope the professor who recorded this course will look forward to an opportunity to devise a deeper mathematics course to tackle these topics. Good luck to all fellow learners and thanks to Coursera for this opportunity!"
39,1,Not so good as the first course of the specialization
39,2,Gained a lot from this course. Looking forward to take up all the other courses in this specialization as well. Thank You!
39,3,great as all other course in this specialization !
40,1,Learnt a lot ! Thank you!
40,2,"this really helped me a lot I learned many new things, thank you for teaching me how to learn!"
40,3,Learned about a lot of new things. Thank You very much.
41,1,A good Course for Project Planning and Management
41,2,Good introduction to Project Management!
41,3,Good course to learn project management
42,1,"A perfect course to get familiarized with coding. The instructors are just fantastic! They keep the course fresh with posting to the forums regularly and with holding live hangout sessions. There are also interview videos with professionals about interesting IT topics. The course videos are understandable and the topics are clearly formulated. The course helped me understand the foundations of coding, which two semesters of university courses could not accomplish. I am really satisfied with the knowledge I got and I will continue learning to code. I definitely recommend this course to anyone who wants to start a journey into the world of coding."
42,2,"The course was pretty good for a beginner. The instructor was very clear and explained all the concepts in a very easy to grasp manner. However, the entire course could do with more coding exercises. Concepts such as joins, group, etc could be better understood if there were more exercises. Also, during the coding exercise (at the end of the week) it would be really helpful if correct answer and an explanation would have been provided. Having said that, its really good for beginners and I would and have recommended this to others."
42,3,"I enjoyed this course, and the learning materials and instructor is great, but I felt that quite a bit that was covered (like the Twitter URL and API) required me to accept a number of principles/code that seemed to be a lot more complex than my beginner level could really engage with. When the assignments came we were given sample code that was 80-90% usable in our assignments. I did not feel like I was learning as much when I did not have to write my own code but just changed one or two lines...I also did not feel comfortable to attempt my own version as there were so much (given) code that I understood the reasons for but not really how to use it differently myself."
43,1,"The flow of content is great in the first two weeks and the final week. However, week three, despite Prof. Bell's enjoyably jovial demeanor, seems to drag on forever. Week three takes you totally off the rails with its missing content (cut for the sake of shortening the duration of the course, but done in a way that leaves a lot to be desired) and its lack of sufficient transitions and connections between topics. Professor Kahn's lectures were my favorite, due to her clear way of explaining concepts and giving multiple examples that very clearly demonstrate her point. Speaking of examples, this course could also use a overhaul to bring it back up to date. Five years may not seem like a long time, but that's practically decades when it comes to marketing communications! Overall, this course is a great refresher for those who've studied ad/IMC/branding already, and a good starting point for those just getting into the field."
43,2,"I have really enjoyed this course. I did my MBA in marketing around 17 years back and have been working in the finance function for the last 15 years or so. It was really nice to refresh my memory on marketing strategies and tactics, but the most important thing I learned was how marketing concepts are changing from mass to an individual. It is happening all around me right now and it was very exciting to see how it works. I hope I will be able to share this knowledge with my marketing colleagues and ask them to do more of individual marketing through Customer Analytics. Thanks, Corsera & Wharton team for providing us with this wonderful opportunity."
43,3,"This was my first course on Marketing. It was great experience, learning new concepts of real world marketing. Moreover, the course was very well explained by faculties. I will recommend such courses to my friends too who are looking to find their career in Marketing. Lastly,Thank you coursera."
44,1,"I don't usually submit reviews, but it was very surprising to see so many negative reviews for this course. I want to clarify this for the others who are skeptical about taking this course. Please go ahead and take the course, because this course is THE BEST in Networking for beginners. Yes, the course does involve the instructor talking a lot, but it also has animated slides representing whatever he explains and practical tests to implement whatever knowledge you have gained. It is very important to TAKE NOTES and revise, and not simply watch the videos because nothing is going to get into your head by doing so. It is an entire subject and has been taught in an excellent way, you can't expect yourself to remember everything just by simply watching the videos. I was very scared of Networking until I landed up in this course. I love it now. It just takes some interest, patience, understanding skills and taking notes to complete this course successfully. I did not get an opportunity to study Networking in college, but really needed to learn it as a Computer Science student. I am very grateful to Coursera and Google for offering this amazing course, that taught all the basics that is needed for an undergraduate student to know. Learning the same syllabus in college would have taken an entire semester, but I got done with it in a week during this quarantine period. I wasn't planning on taking the entire specialisation because my aim was to just learn Networking. But now I am very eager to learn the remaining stuff too!I would like to specially thank the instructor Mr. Victor Escobedo, who is the best course instructor I have ever come across on Coursera! The eternal smile on his face, friendly tone and frequent Networking puns make the course all the more interesting and easy. All the other Google employees who made special appearances in this course also seemed so cool, that made me wonder what an amazing experience it would be to work with such people around everyday.Thanks a lot to my instructor Mr. Victor, Google and Coursera!"
44,2,"I learned in this course about computer communication protocol, OSI networking model, subnetting, routing, firewall, DNS, DHCP, VPN, WAN, wireless networking, IPv4, IPv6, the cloud, and troubleshooting network problem."
44,3,The Bits and Bytes of Computer Networking is a great experience and part of what makes it great is the exceptionality of the Lecturer. I have an interest in Computer Networking and this course filled all my expectations.
45,1,"Instructors are passionate about the subject, which makes the class quite inspiring. I feel many points/techniques that are needed to complete assignments are left out due to virtual nature of class, short length of course, and extreme class size. There are just too many important nuggets of info and courses you need before even attempting this course. I really recommend watching a lot of PhotoShop and InDesign videos and tutorials so you can turn in sharper images for assignments. The peer grading system is HORRIBLE. I will spend hours of time completing a project to make sure I meet all requirements of an assignment, only to receive a horrible score and have it torn to shreds by ""fellow"" classmates. You are given the opportunity to resubmit your assignment for a better grade, but just be aware that some classmates are not taking the course seriously, nor are they upholding the supportive spirit of the course. Then there are more experienced or overly opinionated peers that will leave quite nasty remarks knowing this is a ""beginners"" class. Art is subjective, but a lot of students will take off points because something is not their taste. Most of your peers are supportive in this course, but the bad apples can make for a very sour experience.Overall, I give high marks for the instructor, though it is VERY theory driven, not even technique driven instruction. The assignments are very project based, and it would be more helpful to show plenty examples of the templates we will need to complete in the lectures and how to go about completing them. This course is currently best geared towards quite experienced graphic designers looking to get into UX/UI design, but not newbies like me. At the very least, I am now aware of the educational holes I need to fill before attempting further UX/UI design training."
45,2,"Professor was great but peer review grade from peers, who upload stolen music from Bollywood films, to make me resubmit my project 4 times is ridiculous. Grade based on one peer review, and that from someone who violating copyright uploading something that isn't his, for both assignments, or from another who uploading notes from course not music, or third who rating bad saying I should record louder though there's clearly told not to rate recording quality but playing, without any point where we can request that grade to be checked by professor, Coursera staff, or admin, other than to hit report button for that person's work, and then to again resubmit own, hoping that next peer review will come from someone who didn't come here to make a mockery of this course but to really learn and grade other learner. Neither peers read how to give grade and based on what, nor their own projects are on topic, nor appropriate files, plus uploading copyright and stolen material from films, notes, and totally unrelated songs. Paying for a course to be forced to resubmit repeatedly the same files over grade from people who misusing this place, making it look like a joke, uploading stolen material for own works. I have never seen such poor course ending ever, and though my score is 100% on all other tests, this resubmitting because of some who clearly trying to cheat the system, yet giving bad grades to others, really made me decide never to use Coursera again."
45,3,"The course content and the way Cory Augustine presented the demos and tutorials were very engaging. There were however techniical glitches that were annoying. Some pages of required reading would not load and instructions how to upload assignments are not very clear. It wasnt stated very clearly to me that the final assiessments track 1 and 2 were either or choices. I was in the process of working on track 2 when i was notified i had completed the course. Most disappointing to me is that there is no feedback concerning how well i reviewed my peers essays. There is also a workflow flaw in the grading page for peer review of essays. The grading section appears BEFORE the box for comments. When you complete grading and hit SUBMIT, you will lose the chance to type comments and post them to the student because the comments box disappears. i think most people do not realise this so many students may receive a grade but not the comments. With the current system, the comments must be typed and posted , BEFORE completing the grade marking. You will also not see the POST button until you start typing comments. This page has got to change. i realised this problem because i reviewed 3 essays and experienced the problem with the first essay i graded. It was a shame because this student did remarkably well but did not get my comments. For the other 2 i, i posted the comments before submitting the grades.I received 95% grade for my ownessay. When i referred to my assgnment page for more details, i discovered that the box for 90% had been crossed out in red and "" 95% tie"" typed in. Was this change made by a mentor/administrator? i do not see how we have ant option to give grades other than those predetermined."
46,1,It is a great class
46,2,"Great class, learned a lot."
46,3,"Very good class, I learned a lot"
47,1,Its really a good course of Probability and statistics for beginner.
47,2,The Introduction to Probability and Data course is a nice step into the world of statistics and a good refresher course for those of us rusty with statistical concepts.
47,3,"For an introductory course in Probability & Statistics, this course ticks all the boxes. It introduces to majority of the concepts, of course without going too much into details. But this course ignites the curiosity to learn more in various fields, such as probability distributions, descriptive statistics concepts, decision tree, Monte Carlo simulation, etc. And finally, a big thanks to Dr. James Abdey for his efforts in delivering this course. He must be popular among his students in University of London."
48,1,"Owing to Mr. Corey D'Augustine's lectures, I learned a lot about noted artists in Postwar Abstract Painting including Willem de Kooning and Mark Rothko. He taught me not only their famous paintings but also their techniques and materials they used. Especially he actually demonstrated each artist's painting process, which helped me to know how those artists worked on their paintings and what they wanted to create through their works. I think next time I visit a museum and see a work by one of those artists or of other Abstract Painting artists, I could appreciated it from more wide-ranging points of view. Thank you Mr. Corey D'Augustine and MOMA for giving me a chance to take this course."
48,2,"Extraordinary class! A self-taught artist of eight years, I found I didn't really ""get"" abstract expressionism. This course as presented gave me a much deeper appreciation for the historical impact of this movement as well as a greater understanding of techniques employed, thanks to Corey D'Augustine's weekly ""In the studio"" video sessions. In fact, those videos, in particular, gave me the confidence to work in oils, which I had never attempted before, and validated my own instincts in working in the abstract world. What's more, the readings and images studied by these seven artists informed my appreciation for the AbEx movement and, hopefully, my ability to not sound like a dumba$$ when discussing AbEx or other forms of art as the course also provided a deeper introduction into technical terminology and evaluatative (is that a word?) procedures. I highly recommend this course to those artists wanting to enhance their works, and also to those on the critical / commercial side of the art world seeking to deepen their understanding of the AbEx movement and become more informed about different painting processes in general."
48,3,"This was my second attempt at a Coursera course and it widely exceeded my expectations - the first was in a technology arena and the technology for doing homework assignments never worked. This class is exceptionally well thought out and executed, particularly for someone such as myself who has never had any painting experience. Corey D""Augustine has that rare gift of an instructor who intuitively knows what the student needs in order to advance through a concept. The class begins with the absolute basics, starting with how to stretch a canvas, prime a canvas and then through the different types of paint and tools needed. The class progresses to increasingly more complicated forms of painting in the style of postwar abstract expressionism.I thoroughly enjoyed how each week progresses through one artist after another with the opportunity to do a painting in the style of that artist. Each module does a superb and consistent job of presenting the artist's major works, the philosophy and history and then the techniques through a demonstration. It is great to be able to upload a photo of your effort and then see and react to what other students have done. The quiz at the end of each module help to reinforce the lessons learned for that module.In the end, I found that I could paint paintings in the style of the postwar abstract expressionists - something I never thought possible. To the student with little or no experience with painting, especially oils, the mere mixing of paint and applying it to a canvas can be intimidating - this instructor effectively moves the student away from those hesitations. More importantly, I will likely never look a painting in a museum with a more critical eye than I now have for this style of art and, I can now articulate why I have always enjoyed this period of art history. Well done Corey!"
49,1,Really enjoyed the course. Learnt a lot.
49,2,I really enjoyed the course. I learnt a lot of things from this course.
49,3,I really enjoyed that course where I learned a lot!
50,1,Excellent course to beggin to learn chinese
50,2,"This course is good for people who want to learn intensive chinese. especially for people who likely to travel to China or even having a chinese friends to talk with. I'm have learned a lot of chinese words and phrases , and I'm pretty sure that it will enhance my language skill for the work position in the future. Thank you. xie xie"
50,3,it's so good for beginnesr to learn Chinese
51,1,Simple course to understand Covid-19 pandemic
51,2,"This course is very helpful especially in the times of Covid-19. It helps you to understand endemic, epidemic, pandemic and outbreak. Also explains about quarantine, isolation, social distancing and the US laws behind it."
51,3,This course helped me to know more about corona virus and covid 19. It provide lots of information that we should take during this pandemic situation.
52,1,I am really enjoying myself while in this course.
52,2,its really an amazing course!!! loved it
52,3,Really enjoying this course so far.
53,1,This is one of the best courses I have taken on coursera. This course will really help one to understand the nuances of clinical research by enabling a strong understanding of statistical concepts commonly used in this research. Dr. Juan is a great teacher and he takes you through different concepts in the clinical research by bringing on examples from published research articles and also highlights how these concepts were applied to conclude the results stated in the article. Thanks alot Dr. Juan for this course
53,2,"best course on DM for Clinical Research, however the videos are rather monotoneous"
53,3,Concept of public healthEssential of global health
54,1,Best course for learning Grammar and punctuation.
54,2,It is a very useful course for learning grammar and punctuation
54,3,This course really teake you step by step through the English grammar and punctuation
55,1,"This is an excellent course! I completed it during the ""lockdown"" due to the Corvid19 as I have had a lot more time on my hands, and it has been a wonderful experience. Craig Wright is a fantastic teacher and the course is extremely well put together with a really good combination of music, music theory, biographical information about the composers profiled and general art history too. I used to play the flute, and the course has inspired me to pick up my flute (for the first time in over ten years) which has also been a lot of fun. If you have any interest in classical music, I wholeheartedly recommend this course."
55,2,"I feel Professor Craig Wright offers a comprehensive, varied, accessible and fun overview of a very large subject, starting right at the beginning of musical history and bringing you up to the present day. He uses a wide variety of visual and audio resources including relevant works of art, architecture, artefacts, sketches, quotes from historical documents, surviving musical scores, music recordings, videos of live orchestral performance, music animations, costume, period instruments and interviews with musical colleagues of his who are able to share their expertise. In addition to all this he offers us his own photographs from his pilgrimages to cities such as Vienna, which adds further to the course's personal touch. What comes across throughout Wright's course videos is his immense love of, and desire to share that love of classical music, which for me is a major factor in what makes the course so appealing. I also enjoy his sense of humour and efforts to appeal to a younger generation (Wright is in his 70s). At more than one point in the course he adopts fancy dress to reflect the period he is exploring. A highlight I feel is when the course features a clip from one of his lectures at Yale University where he enrolls some colleagues to enact a scene from Don Giovanni in which Wright plays an angry father, slain by Don Giovanni in a duel. It is a touching (and amusing) example of his good humour and ability to have fun with his students. My only criticism would be his own piano playing which is often rushed and inaccurate, but I feel this is largely due to the time constraints of filming the videos. By his own admission, he realised early on in life that he was not up to the challenge of being a concert pianist - he is primarily a musicologist, not a pianist. Every piece of music touched on in the course is available via the course Spotify playlist (extremely helpful) so there is no difficulty in listening to professional recordings of all the pieces discussed.I would highly recommend this course to anyone seeking a background knowledge of the evolution of musical history."
55,3,"Professor Craig Wright is learned, curious, entertaining, and innovative in getting us to the core of meaning and theory and techniques of classical music. I immensely enjoyed the course, in particular because I love art too, and Professor Wright often demonstrated music in a visual, artistic way! He is a great teacher!Russell Endo[novice to classical music]"
56,1,Good for beginner. Very easy to follow.
56,2,Good for beginner and easy to understand.
56,3,Very good for the beginners and it very easy to understand.
57,1,"I will definitely recommend this course for a beginner, who has no previous knowledge about MATLAB.The instructor Mike Fitzpatrick is awesome, I admired him. Gained a good knowledge from this course. thanks to Coursera and vanderbilt university..."
57,2,"Excellent experience of learning Matlab Programming and the course is elegantly designed to cover most of the concepts in Matlab. Through the video lectures and homework problems one can master most of the commands in matlabs. Prof. Fitzpatrick is the finest teacher I have come across, who made the course so interesting and made to look simple to understand which is not in reality. I never imagined that I could solve the homework problems and it was only possible by the Mentors guidance particularly Pauls posts. I take this opportunity to thank Prof Fitzpatrick, Prof Akos for designing such course which will be helpful in solving many scientific and Engineering problems and I am looking forward to use Matlab extensively.. Thanks to Coursera for providing the platform to experience the best course from the globally reputed University to many people."
57,3,A very great first course of MATLAB programming!
58,1,great content and very easy to follow
58,2,"GOOD CONTENT, easy to understand"
58,3,Good content and easy to follow
59,1,A lot if very good information and presented very well.
59,2,"Really informative, and very easy to understand."
59,3,"Informative, interesting and engaging, highly recommend."
60,1,is an excelent class the american law
60,2,"An introductory course that provides an overview to a few major aspects of American law, including contract, tort, constitution, property law. Important cases are incorporated to help illustrate fundamental legal concepts. I appreciate that the course puts some highlights in the comparison between the laws of American and laws of other common law jurisdictions, so even law students/legal practitioners from other countries could gain some insight."
60,3,Good overview of American Law.
61,1,"I joined this course right after finished the "" learn how to learn"" course. Both of them are great and beneficial for me. It provides many new and useful tools and methodologies to improve my learning and development. It also gives me some breakthroughs and motivates me to explore new activities that I have never experience before. Key concepts are introduced in this course can help me to solve a problem I face during learning effectively and efficiently. The quality of materials is advance and very convenient. We also saw what happened behind the science and understand how the course was prepared. Thanks Barbara for dedication, passionate and humanities"
61,2,"This course is potentially useful to anyone at any age from any background. There are useful tools in this subject matter that can help most any learner learn any subject more easily whether in an academic environment or a non-academic environment. This course is more than a self-help course because the course lays a foundation as to how to learn any subject matter. Because this course is contemporaneously based in scholarly and scientific research, social science, and especially brain science, the learner is benefiting from some of the most recent and sound knowledge available without pedantic complexity. This course takes some very complex knowledge and makes that data easily accessible to most learners such that the learners may become self-actualized. This course can be truly transformative in nature because this course will change a learner's perspective about how to learn anything and change a learner's perspective about one's self. This course is not snake oil. I know because this course has changed how I learn and changed me as a person. In short, this course has positively changed my life."
61,3,"Excellent course, provides effective tools to master any subject based on basic principles of knowledge of the functioning of the learning process in human beings, bases its theories on scientific research of great authors, collating this information with the own experience of teachers who give the training in the course, I appreciate the ease of training, the ease in which these processes reach many places in the world, available to those who wish to learn or expand their field of knowledge. The methodology is adjusted to the conditions of each student, the intensity and frequency in which they can access the courses is determined by each person, the learning process is easy and effective, opens the mind to new knowledge while allowing to strengthen the existing, as well as face new challenges with greater tranquility and security in itself.Many thanks to all those who are part of this process and make it possible to diversify knowledge by improving the quality of life of the people who take these courses as well as the well-being of their families."
62,1,"Amazing Content !! Learn a lot about Computer Hardware, Software, Operating Systems, Networking and Troubleshooting."
62,2,"Very well explained especially for students that have no knowledge about computer hardware, software or computer science."
62,3,"I can't praise this course enough! It transforms your working knowledge of computer systems into a clear picture of what is happening behind the scenes. In this part 1 of the course, I learnt how basic gates are used to make more complex chips such as ALU, CPU and Memory. This helped me understand the application of Boolean Algebra in computer science. Next, I understood how instructions are executed on the computer and that computer architecture design is quite complex (although a simple one is presented here). Week 5 assignment is the toughest, in my opinion. Finally, the course ended with an assignment to write an assembler (something I have been wanting to do at least once in my life i.e writing translators). The satisfaction level for this course is a 10/10."
63,1,Great course. I learned a lot.
63,2,Great course ! Learned a lot !
63,3,Great course I learned a lot from it.
64,1,"As a recent immigrant to Canada I don't know much about Canadian history, let alone Indigenous history. I thought this was a fantastic introductory course to begin to understand the complex groups of people who make up this country. It has definitely inspired me to seek out more information on Indigenous groups local to me and other places I travel in North America. I do think it was a bit generalising at times but the hosts acknowledged they couldn't talk about every nation in Canada in depth so I am happy to forgive this. I would have liked to see more pictures in the Art course but I now have the suggestions to look these up in my own time. I also thought it was very helpful to learn what certain terms actually mean, e.g. First Nations vs Indigenous, because this is something I have not quite understood since I arrived."
