T_id,Macro_rank,Macro_id,Macro_display,Macro_label,Meso_rank,Meso_id,Meso_display,Meso_label,Topic_ID,Label,N,Pct
T217,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,120,insights on modern management practices,541,0.229
T218,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,124,praise for supply chain logistics course,515,0.218
T219,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,129,feedback on human resources course experience,497,0.211
T220,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,139,praise for Agile software methodology learning,452,0.192
T221,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,162,praise for instructor Alex Cowan,356,0.151
T222,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,164,praise for job application preparation course,352,0.149
T223,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,166,enthusiasm for entrepreneurship learning experience,349,0.148
T224,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,169,praise for private equity course content,344,0.146
T225,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,186,praise for social norms course and instructor,301,0.128
T226,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,189,positive feedback on social media marketing course,294,0.125
T227,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,190,positive feedback on project management course,292,0.124
T228,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,193,positive feedback on strategy course,285,0.121
T229,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,200,praise for Jira and agile methodologies,280,0.119
T230,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,243,insights from industry experts,206,0.087
T231,4,3,Macro 5,course quality and effectiveness,1,12,Meso 22,course content and effectiveness praise,247,praise for leadership course experience,204,0.086
T232,4,3,Macro 5,course quality and effectiveness,2,11,Meso 23,business and finance course praise,21,praise for corporate finance course,2144,0.908
T233,4,3,Macro 5,course quality and effectiveness,2,11,Meso 23,business and finance course praise,87,praise for financial accounting course,764,0.324
T234,4,3,Macro 5,course quality and effectiveness,2,11,Meso 23,business and finance course praise,106,praise for introductory marketing analytics content,621,0.263
T235,4,3,Macro 5,course quality and effectiveness,2,11,Meso 23,business and finance course praise,123,praise for people analytics course,521,0.221
T236,4,3,Macro 5,course quality and effectiveness,2,11,Meso 23,business and finance course praise,132,praise for foundational economics understanding,476,0.202
T237,4,3,Macro 5,course quality and effectiveness,2,11,Meso 23,business and finance course praise,185,praise for Professor Robert Shiller,302,0.128
T238,4,3,Macro 5,course quality and effectiveness,2,11,Meso 23,business and finance course praise,194,feedback on business metrics understanding,285,0.121
T239,4,3,Macro 5,course quality and effectiveness,2,11,Meso 23,business and finance course praise,196,positive feedback on forensic accounting course,284,0.12
T240,5,4,Macro 6,course content and experience feedback,1,14,Meso 24,course content and quality feedback,35,positive feedback on clear explanations,1482,0.628
T241,5,4,Macro 6,course content and experience feedback,1,14,Meso 24,course content and quality feedback,58,praise for course content quality,1049,0.445
T242,5,4,Macro 6,course content and experience feedback,1,14,Meso 24,course content and quality feedback,59,mixed feedback on course information quality,1049,0.445
T243,5,4,Macro 6,course content and experience feedback,1,14,Meso 24,course content and quality feedback,72,praise for course usefulness,911,0.386
T244,5,4,Macro 6,course content and experience feedback,1,14,Meso 24,course content and quality feedback,146,praise for course material quality,427,0.181
T245,5,4,Macro 6,course content and experience feedback,1,14,Meso 24,course content and quality feedback,249,theory versus practice balance concerns,201,0.085
T246,5,4,Macro 6,course content and experience feedback,2,13,Meso 25,overall course experience feedback,67,positive feedback on learning experience,950,0.403
T247,5,4,Macro 6,course content and experience feedback,2,13,Meso 25,overall course experience feedback,83,mixed feedback on course structure and pacing,803,0.34
T248,5,4,Macro 6,course content and experience feedback,2,13,Meso 25,overall course experience feedback,105,mixed feedback on course difficulty,625,0.265
T249,5,4,Macro 6,course content and experience feedback,2,13,Meso 25,overall course experience feedback,115,positive feedback on course experience,575,0.244
T250,5,4,Macro 6,course content and experience feedback,2,13,Meso 25,overall course experience feedback,225,praise for session quality and engagement,248,0.105
