T_id,Topic_ID,N,Macro_id,Coder_A_label,rep_doc_1,rep_doc_2,rep_doc_3,rep_doc_4,rep_doc_5,Coder_B_verdict
T188,36,1390,5,praise for Professor Bloom's psychology course,"I got my certificate completing my course with 96% of accomplishment. I am so excited and happy to achieve this step and just from the first attempt. Before the course, I was alien to the social psychology field, even though it had attracted me much. I am a political observer, and after a while of being in this field, what I found to myself my work doesn't satisfy me in its evident form. Policy, economy and culture - the fields linked to people, need a psychological approach. Trying to find answers to all inconspicuous through social psychology, we can actually understand the reasons standing behind the hidden curtains. There are a lot of problems that need different approach precisely by exploring the psychological factors. Our world is a picture of our thoughts. If we people feed our thoughts and feelings with hatred and offence we will cultivate villainy and atrocity. Unfortunately, we are aware of our fundamental essence what is created by God. I cordially believe in one person's power. I believe in one step, in one opinion, in one insight and in one perception. A building is starting from one brick. We are all humans that one brick of colossal construction. I summarised what I have read and watched throughout this course, that helped me a lot in constituting my life roadmap, came to the conclusion that actually all researches are based on the principle of one man and one decisive step. It was a miracle journey to my inner me, my self-world. I warmly thank Prof. Scott Plous for his comprehensible and smooth style of narrating and rich sources presented for student's use. I recommend this course to all who wants either discover to understand ""Who am I?"" or predispose to make a significant and salient step in their life. My sincere respect and best wishes to Prof. Plous and all Coursera staff! Thank you for such a fantastic journey :) Best regards, Afsana Ibad Mammadova","This is a great intro course to psychology, which kind of accomplish my dream of being a psychology student. The course gives a general structure of modern psychology. Besides that, it gives how it becomes modern psychology. Also, Professor Bloom is so knowledgeable, I wish I can take one of his class at Yale some time in the future","I am grateful to have had the opportunity to take Introduction to Psychology with professor Paul Bloom. It was an engaging and challenging course, and Professor Bloom has extensive and impressive knowledge of the subject matter. I have learned many new concepts and now understand how to listen and read the assigned materials more thoroughly. I would recommend this course to anyone who is considering pursuing psychology as a major. This course provides an extensive but condensed look at what to expect in other psychology courses.",,,accept
T209,158,366,5,positive feedback on energy course aspects,Great introduction to Wind Energy.,This is a good course about the wind energy and its utilisation.,Great course to get iniciated with wind energy,,,accept
T181,144,434,5,praise for engaging history instruction,"Big History: Connecting Knowledge is a fantastic course. Big History should be a required component of the modern education program. It offers a big perspective of past events and promotes and understanding and appreciation of the various fields of knowledge that help us understand the world around us. In light of the near-future challenges facing our world, this course has arrived just in time. It offers a valuable tool for understanding world education and culture. I am delighted that Dr. David Christian lead the wonderful team of teachers for this class. And of course, John and Hank Green were a special treat. Many thanks to Coursera - one of the great things to come from the internet.","Great course that gave the big picture of how we the modern world got started. I liked that prof. Zelikow tried to convey why things happened, and the interrelationships of various events in world history.","This is the longest course that I have completed thus far on Coursera. I have to say, overall, this course was a comprehensive, intriguing and informative experience. The professor comes off as very engaging and knowledgeable. I would never tire of listening to his way of explaining things. He does a great job at breaking down events in history into digestible chunks that link together cohesively. He really made me see history as a series of events and decisions that all build up on one another. One particular aspect I appreciated was his use of art as examples. He did a great job selecting art pieces and contextualizing them to the topic we were covering. It definitely gave me a deeper sense of the concept that he was addressing. Moreover, I appreciated the fact that this wasn't as Euro-centric as a lot of world history courses tend to be. He introduced me to some things I either never heard of (King Leopold's atrocious plundering of the Congo) or things that have never really been fully fleshed out for me (the slave revolts in Haiti ). He does a great job at making those key connections that help you explain why it something happened. For example, how the Louisiana purchase was not just sold by France willy nilly but that it was due to their defeat in Haiti that led them to sell the territory to the United States.Moving on to some cons that attributed to my 4-star rating, I'd like to point out two cons. The first is that I felt there wasn't much in the course besides watching the lectures. As insightful as they may be, I would have liked more reading material to follow up on topics discussed. Additionally, I would have liked discussion prompts here and there so the learner can make sense of the information by writing it out and discussing it with others. There were times I felt it was much too passive. I know there are discussion boards for this course, but it's not the same as them appearing after lectures like in other Coursera courses. Lastly, the other con that I'd like to mention is the way the quizzes are. A lot of the questions were about overly specific dry facts like numbers, percentages and dates. I would have appreciated more concept-checking questions to see because that's what can really help in assuring the content was received well. Overall, I thought this is a great overview of some major transitions that all seem to lead into the significant clashes of the 20th century. I look forward to taking the follow up course and I thank the professor for taking his time to make all these lecture videos.",,,accept
T185,233,230,5,feedback on meta-analysis course content,"This course is highly recommended for any beginners in understanding the systematic review and meta-analysis. This course offer flexible time to complete as participants can reset their timeline to complete the course according to their study or working schedule. Also, participants are being exposed to exercises and able to learn conducting peer-review assignments. The best thing about any course is the application on the theory based on the healthcare practice in our daily life. The course organizer may want to add more on the applied knowledge in the videos. Overall, this course has given me the opportunity to recognize my capacity of conducting systematic review in the future.",This course has provided an excellent platform to do further Systematic reviews and Metaanalysis,"Very much appreciated the course content and its presentation. Always felt challenged and supported in completing the modules. The course content is well organized and logically sequenced, with clear instructions and use of examples. I especially like the balance in the way that systematic reviews seek to be information-led rather then method led and the inclusion of qualitative synthesis helps appreciate what is considered 'meaningful' nicely offsets any over reliance on statistical significance as the sole criterion regarding the importance of the research outcomes. However, the presentation of this part of the content was tentative and almost apologetic in emphasizing the importance of the qualitative synthesis, yet expressing a sense of uncertainty in how to do it. And sometimes the content got a bit skewed - for example it was stated that one has to be confident in one's judgements in order to make appropriate interpretations. When this kind of inductive process is applied as an assessment protocol it is interpretations that informs judgements, not the other way around (ie in assuming a description - analysis - interpretation - judgment sequence) - after all, one's is being asked for an overall judgement of quality.",,,accept
T23,10,3952,6,praise for Coursera courses,The best course in coursera!!!!,"its very interesting course, thanks coursera team","it was really an awesome experience learning with Coursera, Coursera has given a platform to learn everything ......thankyou Coursera.....",,,accept
T1,3,5681,6,feedback on video length and structure,"Learning how to learn is an important concept that we don't spend enough time thinking about. This course teaches you a bit about the science of learning based on psychological and neuroscientific research, as well as the experiences of educators. It also provides a number of helpful tips that can assist you in understanding and memorizing new concepts in any field. However, I think this course has more ""filler"" than necessary. Some videos will spend 6 minutes making one or two good points that could be made in a minute and half. Personal anecdotes, redundancy, theories behind why certain techniques in learning work the way they do, etc. contribute to this ""filler."" It's not that I don't find some of this stuff interesting, but when I start a video, I want to focus on the fresh subject of that particular video and how it will help me learn. The personal anecdotes and theorizing would fit better in the ""optional material"" section. The redundancy is entirely unnecessary and is actually a bit like ""rereading"" in a way, which is a point the course teaches you is ineffective. Make your point clearly, then test us to see if we understand it. It does not need to be rehashed throughout the course. Further examples and explanation can be provided in the ""optional material"" section if people want to read more about it.Secondly, quizzes should be more difficult. They contribute to an ""illusion of confidence,"" which is another concept that the course itself discusses and urges you to avoid. I honestly feel that many of the questions have such common sense answers that I could've skipped several videos altogether and still passed some units. They could be designed better to see if people genuinely understand the perspectives and techniques that this course offers.Despite my critiques that this course would benefit from some sharpening of the lectures, and more difficult questions, I enjoyed it, and am glad I took it. I feel that I have more guidance in how to approach my learning effectively.","Even though this course covers a lot fundamentals for introduction to algorithm, the course itself is not designed as good as I expected. For starters, the weekly problem designs aren't very good. Some problem statements are ambiguous and not very clear unless you read more than one time or take a closer look at the examples. Often, the input format/arguments are designed to take redundant info. Some problem even has more than one possible correct outputs, which is just confusing for learning purpose.In terms of lecture videos, it's good that there are some classic algorithm problems being demonstrated in the video, however the linkage between how to express a problem in mathematical languages is poorly explained. For example, in the lecture of edit distance, the realization of the matrix was not well explained at all. I personally appreciate a lot of the thorough proving steps introduced in the lectures, however I personally think the proofs are often not well explained to the audience (I also understand that it's more difficult to explain proving steps). Considering the large variety of audience, I would recommend the instructors separate the comprehensive more in-depth knowledge into optional videos, in this way the audiences could decide if they want to spend time in optional videos or not based on their own needs, meanwhile the instructors could spend a little bit more time to explain the difficult concepts better. Overall, I know that talking and analyzing algorithms can be kinda of boring and challenging, but I wish the course videos could be stated in a more interesting and intriguing way.","W. Scott Persons is a spectacular presenter. He speaks clearly and articulates himself in such a way that he can explain a complex subject in an easy-to-understand way. He doesn't speak too quickly nor too slowly. If anyone wants to be a better presenter, they should follow the example of Persons.I like the questions being asked during the video. Sometimes they are just to make sure you are paying attention, but most times they require you to make inferences based on what you have learned, which is great. If you complete the reading material before watching the videos, you should have no problem at all answering the video questions.The reading material is extremely in-depth and very informative even beyond what the videos offer. One complaint I have would be that the estimated time of completion for the reading is inaccurate. They say it takes about 10 minutes but if you want to actually read and get a good grasp of all of the material presented in the notes, it will take far longer. Personally, it takes me several hours to consolidate the material in my head and to take notes. Like I said, the reading goes very in-depth.The reading material also uses anatomical terms of location very frequently. I would recommend learning the anatomical terms of location (rostral, caudal, distal, proximal, etc.) to assist you while you read the notes. Also take some time to learn how to interpret cladograms. One thing that stands out to me is the Tree of Life, which is basically an interactive learning objective that shows how ALL life to have ever existed on this planet is connected. It is an AMAZING supplement to the course and a lot of fun to explore. Overall, I HIGHLY recommend this course to anyone interested in dinosaurs; paleontology as a whole; evolution and phylogenesis; and ornithology.",,,reject
T50,122,534,6,praise for Dr. Peggy Mason's teaching,"Excellent course. Uses lot of examples from daily life and real life stories to explain concepts. Also, Dr. Mason recommends a lot of books and biographies which are related to the lectures. She explains every topic in a very easy and fun way, I assure anyone would love it. There are also many lab classes where you can see and observe the various parts of the nervous system, and they are well linked to the theory classes. This course is not just for people interested in neurobiology but for anyone and everyone. I'd recommend you to go through this course to understand how every part of our body is controlled by the brain, how beautiful and complex our brain is, and how various disorders can be caused by problems in the nervous system. It will also help you understand the suffering of people with neurological disorders, and would help you be more kind and patient towards them.In conclusion, you will love the course and Dr. Peggy Mason and team, and would thank me for recommending the course! Have fun!","I would like to thank Professor Peggy Mason from bottom of my heart for simplifying neuro biology of everyday. I was thoroughly inspired by the content and teaching style. She explained with real time example which made me to understand much more than what I anticipated. Specific description with human brain sample which made me more enthusiastic and keen. Being non-biology candidate, I made myself to aware of few neuroscience terminologies. Perhaps these made me to understand this course more efficiently. I was little bit aware of brain regions, but because of this course now I learnt the functional connectivity among the brain regions in effective manner. Especially, basic understanding of electrophysiology from this course shed light on my research career path. As a normal non-biology student just i want to suggest that, it would have been better if she would have explained the different parts of brain, CNS and PNS with major functionality and in the initial class itself. It would have been even more effective if all these brain regions, she should have shown at a time in one video so that naive students like us can correlate later. Anyways Thanks a lot for professor, organizer and coursera team for giving opportunity to accomplish this course successfully","If you are looking to learn from a gifted professor, if you want to walk away with a lot of knowledge, if you need a new way of looking at neuroscience, or if you want to be hooked on the subject, look no further. The large international community of learners is really friendly and motivated, too, so as a bonus, you may find new friendships. Dr. White (Len) needs to be a name as familiar to neuroscience as Dr. Goljan to pathology or Dr. Fischer to internal medicine, and you will see why when things just click in your head and when you finish with more understanding than from other courses; he is just such a great teacher. A glimpse of his brilliance as an instructor is when a learner walks away successfully with the knowledge of a medical student and can apply that to research or a clinical situation. The examples that Professor White lectures stuck in my head; the pictures he selects or the ones he draws are easy to recall. Neuroscience is a visual subject as much as it is knowledge-based, and this course stresses and utilizes both. Professor’s White unique talents are 1) to seamlessly repeat an important concept always in a fresh way and 2) to predict the learners’ struggles and confusions and address them. It is no wonder that students at his school honored Len with prestigious teaching awards. You can easily see Dr. White’s excitement for neuroscience and his passion for teaching. Simply a blessing that most of the world is free to learn from him. Two other rare features stand out about this course: heavily involved teaching assistants, such as Ellen (look at the site she put together learnmedicalneuroscience.nl/), and detailed unit notes. In summary, while this is the most demanding and lengthy course on Coursera (I felt the speed of the course was just right), it is also the most rewarding. Duke University has continuously proved to be a great school to take class via Coursera.",,,accept
T5,11,3748,6,feedback on quiz quality and access,"The course is quite challenging and therefore worth doing. The materials provided are excellent and the video tutorials and Professor are excellent - but make sure you pay attention!However, I was a bit disappointed with some of the quizzes particularly those in the final project. The penultimate quiz and peer assignment quiz do have problems. The penultimate quiz answers are not accurate and do not match the actual correct answers. You therefore need to be careful when responding and choose the answer that is closest to your result. On the peer review problem setting there are certain aspects required in your answer that are not defined in the problem. Indeed the way the problem is set out it appears that you can choose between predictive linear regression OR binary classification. Beware.Also I would strongly recommend finishing the course work for week 3 AND 4 BEFORE taking the quiz on probability and distributions.","About: First Lessons contain some Interface/Questionnaire errors.Hi, I reckon it's a tad too early to rate this course since it is only going to start - but I didn't see another option to contact the Course Administrator other than trough the rating process.When going through the introduction of this course, there were multiple errors in the Quizzes/Q&A's. EG: On a question with 1 correct answer, the solution page would also show the clearly wrong answers as ""correct"" (or ""correct, well done""). There were several examples like this. It was only a bit confusing at start (this is my very first course on Coursera, maybe it's common thing to happen.) There was also no option in these videos to thumb-up or -down vote, or to report a problem, like I had seen on other courses.In my opinion the videos were well spoken and easy to understand, and they included everything one could think of when first considering to start playing the guitar. Only the beginning of the first video had a slight feeling of ""Ok, I'm a bit annoyed to do this now"" but that could easily be a misinterpretation or a strategy to capture interest. ;-)I do believe it's a good thing that T. shows all the possible extra's one can buy for a guitar, half of which no guitar player I know owns and which, all together would cost almost as much a beginner guitar, but I believe he omitted that guitar strings generally live longer when you clean the strings with a cloth where you touched them after playing. That's a good maintenance practice if you cannot afford to buy 2 sets of strings every month.Maybe a good addition would be that guitars/instruments can also be rented for relatively cheap, instead of having to spend 500-1000 before even knowing what to look (listen) for when buying a guitar. To me the questions until now were a bit too easy but that's Ok. I might be studying with people half my age so that's fine. Especially the first questions should not be frightening but at least tickle your brain ""a little bit"" instead of just repeating a word from the video.Thank you very much for your consideration. I look forward to study with you (all) !Sincerely, Xavier Weydert","This was my first experience with a MOOC and perhaps will be my last. I suspect courses like this are a large part of the reason that universities are losing both credibility and relevance in the eyes of the public and employers. The complete lack of objectivity presented in a so-called academic course was appalling. By week four the narrative had become so one sided and superficial that it became difficult to maintain any belief in the content of the following lessons. The lectures were so steeped in SJW tropes and what passes for left-leaning politics that the quiz questions could typically be answered based on the simple premise of what make Aboriginal people look the best and the Western worldview the worst. The quiz questions themselves were some of the most poorly conceived and written that I've seen across almost a decade of post-secondary education and the presenters were completely devoid of charisma and style making for dull viewing of topics that were presented in a manner that could almost be considered dishonest.The forums appeared to be the most valuable component of the course however those quickly degraded into what looked like chorus of consent, likely because the overall narrative of the course provided little room for divergent views. My own forum comments were not responded to by the course professors despite asking for clarification and other posters were clearly here to have their own views confirmed, not challenged, and made that evident through their own posts and unwillingness to consider challenging ideas.Overall I felt the course lacked any real academic integrity. Sitting through the lectures felt more like an indoctrination attempt that education. The content was so shallow that the course was more akin to propaganda than coursework. The only factor that would allow me to give even one star was the somewhat improved quality of the guest presenters, some who gave a more even handed approach to the material. This was perhaps the least critical course I have ever taken part in. Even critical theory and methodology needs to be critiqued to have any intellectual value and that did not occur here. Fortunately my employer has covered the small cost of the certification. As someone who works directly with Aboriginal people, and has for a decade, and educates others on Aboriginal topics, worldview, and culture, I am disappointed to say that this course actually lowered my interest in Aboriginal issues and being a so-called ally. This course seemed determined to undermine Canadian values and instil a sense of unwarranted guilt in the participants, likely justified as ""unsettling"" the settler. The process was so heavy handed and obvious however that any possible positive outcome from the message was distorted. I could not in good conscience recommend this course to anyone, and by extension, could not recommend Coursera itself.",,,accept
T56,232,235,6,appreciation for creativity tools and techniques,"This course really has valuable contents but the way lectures been delivered, to me is quite dull / uninteresting. There are lots of useful methods / techniques about creativity but I was really expecting examples or real-life applications or problems where creativity is indeed applied as what the course title says. Though some assignments really brought out some creativity in me. This course is still recommended for beginners. But you might want to check ""Creative Thinking: Techniques and Tools for Success"" from Imperial College to see which one you would want to take first.","The Creative Problem Solving course really helps me to think and act in a more creative way, as for now I recognize how creativity is really important nowadays, especially in the 4.0 Industry. I understand few technics on how to improve the creative thinking such as mind mapping, brainstorming, and building internal motivation. There's few keywords we could learn from here, but since the course is in the beginner level, we only learn few in just 4 weeks. Also, the main projects, DSDs for each week is a little bit repetitive in my opinion. Otherwise, it is a good course to start brainstorming for more creative thinking.","An eye opening course on Creative Thinking: The course content and the areas it covered speaks louder than anything that I never came across in the past in my professional and personal life. Sincere gratitude to Professor Peter Childs and London Imperial College, London.",,,accept
T19,209,272,6,praise for course presenters,Great presenter and great content. Thanks!,Very good course - great presenter.,"Awesome learning and recapping on past knowledge ! The presenter with his with punchlines made the dense material bearable ! Kudos to this awesome presenter and his patience and diligence in delivering the material. Some hands on labs on certain areas where tools are used for better reinforce what is being learned. Just the lectures and quizzes may not suffice other then that awesome job to everyone involved in developing , preparing and presenting these information. On a small note some of the diagrams present could be provided as PDFs so as to serve as visual reminder of key concepts and takeaways.",,,accept
T11,75,908,6,praise for instructor Andrew,"I love this course, and instructopr. Thanks to you ,Andrew sir",Learned a lot from this course. Thank you Andrew Sir.,"Amazing course. Andrew has really streamlined the concepts, made the course easy to follow and at the same time leaves room for further analysis and curiosity. It is so well structured that can transfer complex concepts easily to you and therefore maintain the excitement in the student to keep on going at his/her own speed. What I loved most about the course was the fact that for some reason it seems like Andrew knows where to give you further explanation about what just happened or where you might get stuck in the code and in the lecture. Thank you Andrew. Such an amazing experience and great structure.",,,accept
T34,114,581,6,praise for Dr. Barbara Oakley and Dr. Sejnowski,This was more than what I expected the outcome I would receive from it would be. Thanks a ton to Dr.Barbara Oakley and Dr.Terrence Sejnowski.,"It was a wonderful learning of ""Learning how to learn"" :-). There were few things which I was aware of and many small yet new things/techniques that I have learned in the course. Thanks to both Dr. Barbara Oakley and Dr. Terrence Sejnowski!!",Highly recommended! Fantastic course by Dr. Barbara Oakley and Dr. Terrence Sejnowski.,,,accept
T65,101,644,6,gratitude for course experience,I really enjoyed this course. Thank you!,i really enjoyed the course. Thank you very much.,I really enjoyed about this course.Thank you very much for this course.,,,accept
T44,55,1128,6,positive feedback on classical music course,"This is an excellent course! I completed it during the ""lockdown"" due to the Corvid19 as I have had a lot more time on my hands, and it has been a wonderful experience. Craig Wright is a fantastic teacher and the course is extremely well put together with a really good combination of music, music theory, biographical information about the composers profiled and general art history too. I used to play the flute, and the course has inspired me to pick up my flute (for the first time in over ten years) which has also been a lot of fun. If you have any interest in classical music, I wholeheartedly recommend this course.","I feel Professor Craig Wright offers a comprehensive, varied, accessible and fun overview of a very large subject, starting right at the beginning of musical history and bringing you up to the present day. He uses a wide variety of visual and audio resources including relevant works of art, architecture, artefacts, sketches, quotes from historical documents, surviving musical scores, music recordings, videos of live orchestral performance, music animations, costume, period instruments and interviews with musical colleagues of his who are able to share their expertise. In addition to all this he offers us his own photographs from his pilgrimages to cities such as Vienna, which adds further to the course's personal touch. What comes across throughout Wright's course videos is his immense love of, and desire to share that love of classical music, which for me is a major factor in what makes the course so appealing. I also enjoy his sense of humour and efforts to appeal to a younger generation (Wright is in his 70s). At more than one point in the course he adopts fancy dress to reflect the period he is exploring. A highlight I feel is when the course features a clip from one of his lectures at Yale University where he enrolls some colleagues to enact a scene from Don Giovanni in which Wright plays an angry father, slain by Don Giovanni in a duel. It is a touching (and amusing) example of his good humour and ability to have fun with his students. My only criticism would be his own piano playing which is often rushed and inaccurate, but I feel this is largely due to the time constraints of filming the videos. By his own admission, he realised early on in life that he was not up to the challenge of being a concert pianist - he is primarily a musicologist, not a pianist. Every piece of music touched on in the course is available via the course Spotify playlist (extremely helpful) so there is no difficulty in listening to professional recordings of all the pieces discussed.I would highly recommend this course to anyone seeking a background knowledge of the evolution of musical history.","Professor Craig Wright is learned, curious, entertaining, and innovative in getting us to the core of meaning and theory and techniques of classical music. I immensely enjoyed the course, in particular because I love art too, and Professor Wright often demonstrated music in a visual, artistic way! He is a great teacher!Russell Endo[novice to classical music]",,,accept
